req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-GO-001,CLI,Foundation,Go CLI shall build as single static binary with no runtime dependencies,CGO_ENABLED=0 builds pass,internal/cmd/root_test.go,TestRootCommandHelp,Unit Test,COMPLETE,P0,1,Phase 1 Foundation,1,,REQ-GO-002|REQ-GO-003|REQ-GO-004|REQ-GO-005|REQ-GO-008,,,2026-02-11,2026-02-11,.rtmx/requirements/CLI/REQ-GO-001.md,
REQ-GO-002,CLI,Foundation,Go CLI shall support all target platforms,linux/amd64 linux/arm64 darwin/amd64 darwin/arm64 windows/amd64,Makefile,build-all,Integration Test,COMPLETE,P0,1,Cross-platform builds verified,0.5,REQ-GO-001,REQ-GO-043,,,2026-02-11,2026-02-11,.rtmx/requirements/CLI/REQ-GO-002.md,
REQ-GO-003,CLI,Foundation,Go CLI shall include version command with build metadata,Version commit date go os/arch,internal/cmd/root_test.go,TestVersionCommand,Unit Test,COMPLETE,HIGH,1,ldflags injection,0.25,REQ-GO-001,,,,2026-02-11,2026-02-11,.rtmx/requirements/CLI/REQ-GO-003.md,
REQ-GO-004,DATA,Models,Go CLI shall implement Status enum matching Python,COMPLETE PARTIAL MISSING NOT_STARTED,internal/database/status_test.go,TestStatusParsing,Unit Test,COMPLETE,HIGH,2,Core data model,0.5,REQ-GO-001,REQ-GO-006|REQ-GO-010|REQ-GO-011,,,,,.rtmx/requirements/DATA/REQ-GO-004.md,
REQ-GO-005,DATA,Models,Go CLI shall implement Priority enum matching Python,P0 HIGH MEDIUM LOW,internal/database/priority_test.go,TestPriorityParsing,Unit Test,COMPLETE,HIGH,2,Core data model,0.25,REQ-GO-001,REQ-GO-006|REQ-GO-010|REQ-GO-011,,,,,.rtmx/requirements/DATA/REQ-GO-005.md,
REQ-GO-006,DATA,Models,Go CLI shall implement Requirement struct with all fields,All Python model fields,internal/database/requirement_test.go,TestRequirement,Unit Test,COMPLETE,HIGH,2,Core data model,1,REQ-GO-004|REQ-GO-005,REQ-GO-007|REQ-GO-009|REQ-GO-010,,,,,.rtmx/requirements/DATA/REQ-GO-006.md,
REQ-GO-007,DATA,CSV,Go CLI shall parse CSV database identical to Python,Round-trip test passes,internal/database/csv_test.go,TestCSVRoundTrip,Unit Test,COMPLETE,HIGH,2,CSV parsing,1.5,REQ-GO-006,REQ-GO-009|REQ-GO-010|REQ-GO-011|REQ-GO-012|REQ-GO-017|REQ-GO-022|REQ-GO-030,,,,,.rtmx/requirements/DATA/REQ-GO-007.md,
REQ-GO-008,DATA,Config,Go CLI shall parse YAML config identical to Python,Config parity test passes,internal/config/config_test.go,TestLoadConfig,Unit Test,COMPLETE,HIGH,2,YAML configuration,1,REQ-GO-001,REQ-GO-010|REQ-GO-011|REQ-GO-012|REQ-GO-016|REQ-GO-023|REQ-GO-024|REQ-GO-025|REQ-GO-029|REQ-GO-033|REQ-GO-040|REQ-GO-049|REQ-PAR-005,,,,,.rtmx/requirements/DATA/REQ-GO-008.md,
REQ-GO-009,DATA,Database,Go CLI shall implement RTMDatabase CRUD operations,All CRUD operations work,internal/database/database_test.go,TestDatabase,Unit Test,COMPLETE,HIGH,2,Database container,1,REQ-GO-006|REQ-GO-007,REQ-GO-010|REQ-GO-011|REQ-GO-012|REQ-GO-013|REQ-GO-014|REQ-GO-017|REQ-GO-019|REQ-GO-021|REQ-GO-032|REQ-GO-039,,,,,.rtmx/requirements/DATA/REQ-GO-009.md,
REQ-GO-010,CLI,Commands,Go CLI status command shall provide equivalent functionality to Python,Command runs and shows status,internal/cmd/status_test.go,TestStatusRealCommand,Integration Test,COMPLETE,HIGH,3,Read-only command - output format differs,1.5,REQ-GO-004|REQ-GO-005|REQ-GO-006|REQ-GO-007|REQ-GO-008|REQ-GO-009,REQ-CI-004|REQ-E2E-001|REQ-GO-020|REQ-GO-037|REQ-GO-038|REQ-GO-049|REQ-GO-050|REQ-GO-054|REQ-PAR-001|REQ-PAR-002,,,,,.rtmx/requirements/CLI/REQ-GO-010.md,
